entrantId,positionOrder,positionText,laps,time
6634,1,1,17,94395
6632,2,2,24,94693
6641,3,3,20,95054
6629,4,4,22,95094
6631,5,5,23,95100
6635,6,6,20,95115
6640,7,7,21,95288
6636,8,8,20,95300
6633,9,9,13,95301
6630,10,10,19,95373
6637,11,11,19,95407
6644,12,12,19,95524
6651,13,13,27,95850
6642,14,14,19,95996
6638,15,15,6,96292
6639,16,16,28,96353
6649,17,17,5,96708
6650,18,18,21,96883
6643,19,19,7,96907
6645,20,20,19,97725
6647,21,21,19,97818
6648,22,22,10,98588
6652,23,23,27,98796
6646,24,24,16,99324
6653,25,25,23,101485
