sessionId,entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
1990-16-R,6103,1,1,6584570,7,,81,9,1,8,,,
1990-16-R,6094,2,2,6587699,3,,81,6,1,6,3129,,
1990-16-R,6111,3,3,6621829,4,,81,4,1,2,37259,,
1990-16-R,6084,4,4,6631432,2,,81,3,1,3,46862,,
1990-16-R,6062,5,5,6695730,9,,81,2,1,2,"01:51,16",,
1990-16-R,6063,6,6,,6,,80,1,1,1,+1 lap,,
1990-16-R,6120,7,7,,8,,80,0,1,0,+1 lap,,
1990-16-R,6096,8,8,,5,,80,0,1,0,+1 lap,,
1990-16-R,6113,9,9,,10,,79,0,1,0,+2 laps,,
1990-16-R,6081,10,10,,12,,79,0,1,0,+2 laps,,
1990-16-R,6082,11,11,,19,,78,0,1,0,+3 laps,,
1990-16-R,6098,12,12,,17,,77,0,1,0,+4 laps,,
1990-16-R,6099,13,13,,22,,74,0,1,0,+7 laps,,
1990-16-R,6104,14,DNF,,21,,68,0,1,0,,,Engine
1990-16-R,6083,15,DNF,,1,,61,0,1,0,,,Gearbox
1990-16-R,6100,16,DNF,,26,,58,0,1,0,,,Engine
1990-16-R,6119,17,DNF,,18,,57,0,1,0,,,Clutch
1990-16-R,6095,18,DNF,,13,,53,0,1,0,,,Brakes
1990-16-R,6072,19,DNF,,14,,46,0,1,0,,,Throttle
1990-16-R,6068,20,DNF,,11,,43,0,1,0,,,Gearbox
1990-16-R,6071,21,DNF,,16,,27,0,1,0,,,Brakes
1990-16-R,6078,22,DNF,,15,,23,0,1,0,,,Electrical
1990-16-R,6106,23,DNF,,23,,21,0,1,0,,,Gearbox
1990-16-R,6121,24,DNF,,20,,20,0,1,0,,,Gearbox
1990-16-R,6097,25,DNF,,25,,18,0,1,0,,,Spun off
1990-16-R,6107,26,DNF,,24,,6,0,1,0,,,Transmission
