entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
5628,1,1,5883254,4,,72,9,1,9,,,
5605,2,2,5904904,3,,72,6,1,6,21650,,
5656,3,3,5905624,7,,72,4,1,4,22370,,
5638,4,4,5966974,5,,72,3,1,3,"01:23,72",,
5655,5,5,,12,,71,2,1,2,+1 lap,,
5630,6,6,,16,,71,1,1,1,+1 lap,,
5607,7,7,,14,,71,0,1,0,+1 lap,,
5671,8,8,,6,,71,0,1,0,+1 lap,,
5611,9,9,,11,,71,0,1,0,+1 lap,,
5660,10,10,,17,,71,0,1,0,+1 lap,,
5645,11,11,,8,,70,0,1,0,+2 laps,,
5657,12,12,,18,,70,0,1,0,+2 laps,,
5658,13,13,,25,,70,0,1,0,+2 laps,,
5631,14,14,,23,,69,0,1,0,+3 laps,,
5606,15,15,,10,,69,0,1,0,+3 laps,,
5662,16,DNF,,24,,60,0,1,0,,,Engine
5667,17,DNF,,26,,41,0,1,0,,,Engine
5639,18,DNF,,15,,40,0,1,0,,,Handling
5644,19,DNF,,9,,35,0,1,0,,,Electrical
5618,20,DNF,,2,,33,0,1,0,,,Engine
5619,21,DNF,,1,,21,0,1,0,,,Accident
5652,22,DNF,,20,,21,0,1,0,,,Throttle
5663,23,DNF,,22,,21,0,1,0,,,Engine
5622,24,DNF,,19,,18,0,1,0,,,Fuel system
5653,25,DNF,,13,,15,0,1,0,,,Oil leak
5650,26,DNF,,21,,4,0,1,0,,,Handling
