entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
5955,1,1,5596367,3,,65,9,1,9,,,
5950,2,2,5619711,11,,65,6,1,6,23344,,
5961,3,3,5647581,8,,65,4,1,4,51214,,
5957,4,4,5667745,5,,65,3,1,3,"01:11,38",,
5946,5,5,5677202,7,,65,2,1,2,"01:20,83",,
5959,6,6,,9,,64,1,1,1,+1 lap,,
5960,7,7,,13,,64,0,1,0,+1 lap,,
5951,8,8,,15,,64,0,1,0,+1 lap,,
5970,9,9,,1,,64,0,1,0,+1 lap,,
5947,10,10,,10,,64,0,1,0,+1 lap,,
5978,11,11,,21,,64,0,1,0,+1 lap,,
5975,12,12,,20,,64,0,1,0,+1 lap,,
5971,13,13,,23,,63,0,1,0,+2 laps,,
5972,14,14,,22,,63,0,1,0,+2 laps,,
5979,15,15,,19,,63,0,1,0,+2 laps,,
5949,16,16,,24,,63,0,1,0,+2 laps,,
5969,17,17,,2,,62,0,1,0,,,Out of fuel
5967,18,18,,25,,62,0,1,0,+3 laps,,
5977,19,19,,26,,60,0,1,0,,,Out of fuel
5962,20,DNF,,12,,38,0,1,0,,,Transmission
5958,21,DNF,,6,,34,0,1,0,,,Alternator
5954,22,DNF,,4,,24,0,1,0,,,Handling
5948,23,DNF,,17,,14,0,1,0,,,Engine
5964,24,DNF,,14,,9,0,1,0,,,Clutch
5956,25,DNF,,16,,8,0,1,0,,,Broken wing
5966,26,DNF,,18,,0,0,1,0,,,Suspension
