sessionId,entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
2005-04-R,6671,1,1,5261921,2,,62,10,1,10,,,
2005-04-R,6692,2,2,5262136,13,,62,8,1,8,215,,
2005-04-R,6696,3,3,5289475,7,,62,6,1,6,27554,,
2005-04-R,6677,4,4,5326363,11,,62,5,1,5,"01:04,44",,
2005-04-R,6681,5,5,5332179,5,,62,4,1,4,"01:10,26",,
2005-04-R,6674,6,6,5333203,8,,62,3,1,3,"01:11,28",,
2005-04-R,6673,7,7,5345218,4,,62,2,1,2,"01:23,30",,
2005-04-R,6697,8,8,5345685,15,,62,1,1,1,"01:23,76",,
2005-04-R,6682,9,9,5357762,10,,62,0,1,0,"01:35,84",25000,
2005-04-R,6678,10,10,,18,10,61,0,1,0,+1 lap,,
2005-04-R,6679,11,11,,14,,61,0,1,0,+1 lap,,
2005-04-R,6684,12,12,,16,,61,0,1,0,+1 lap,,
2005-04-R,6683,13,13,,17,,60,0,1,0,+2 laps,,
2005-04-R,6699,14,DNF,,20,,20,0,1,0,,,Hydraulics
2005-04-R,6693,15,DNF,,9,,18,0,1,0,,,Electrical
2005-04-R,6675,16,DNF,,1,,9,0,1,0,,,Driveshaft
2005-04-R,6698,17,DNF,,19,,8,0,1,0,,,Clutch
2005-04-R,6672,18,DNF,,12,,5,0,1,0,,,Accident
2005-04-R,6669,19,DSQ,5272402,3,,62,0,1,0,10481,,Fuel
2005-04-R,6670,20,DSQ,5296704,6,,62,0,1,0,34783,,Fuel
