entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
5099,1,1,6798471,1,,80,9,1,9,,,
5098,2,2,6840885,4,,80,6,1,6,42414,,
5101,3,3,6848443,2,,80,4,1,4,49972,,
5115,4,4,6871299,12,,80,3,1,3,"01:12,83",,
5109,5,5,6880763,14,,80,2,1,2,"01:22,29",,
5117,6,6,,16,,79,1,1,1,+1 lap,,
5112,7,7,,7,,79,0,1,0,+1 lap,,
5126,8,8,,17,,78,0,1,0,+2 laps,,
5105,9,9,,13,,77,0,1,0,+3 laps,,
5122,10,10,,6,,77,0,1,0,+3 laps,,
5129,11,NC,,19,,70,0,1,0,+10 laps,,
5116,12,NC,,9,,69,0,1,0,+11 laps,,
5100,13,DNF,,11,,34,0,1,0,,,Suspension
5111,14,DNF,,5,,32,0,1,0,,,Halfshaft
5128,15,DNF,,15,,15,0,1,0,,,Water leak
5108,16,DNF,,3,,3,0,1,0,,,Accident
5119,17,DNF,,18,,2,0,1,0,,,Accident
5121,18,DNF,,20,,0,0,1,0,,,Suspension
5104,19,DNF,,10,,0,0,1,0,,,Collision
5106,20,DNF,,8,,0,0,1,0,,,Collision
