sessionId,entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
1976-02-R,5098,1,1,6138400,2,,78,9,1,9,,,
1976-02-R,5108,2,2,6139700,1,,78,6,1,6,1300,,
1976-02-R,5109,3,3,6184300,4,,78,4,1,4,45900,,
1976-02-R,5100,4,4,6206800,12,,78,3,1,3,"01:08,40",,
1976-02-R,5116,5,5,,3,,77,2,1,2,+1 lap,,
1976-02-R,5128,6,6,,13,,77,1,1,1,+1 lap,,
1976-02-R,5111,7,7,,7,,77,0,1,0,+1 lap,,
1976-02-R,5106,8,8,,5,,77,0,1,0,+1 lap,,
1976-02-R,5101,9,9,,6,,77,0,1,0,+1 lap,,
1976-02-R,5120,10,10,,23,,77,0,1,0,+1 lap,,
1976-02-R,5124,11,11,,20,,77,0,1,0,+1 lap,,
1976-02-R,5119,12,12,,17,,76,0,1,0,+2 laps,,
1976-02-R,5125,13,13,,22,,76,0,1,0,+2 laps,,
1976-02-R,5126,14,14,,18,,76,0,1,0,+2 laps,,
1976-02-R,5127,15,15,,24,,74,0,1,0,+4 laps,,
1976-02-R,5113,16,16,,19,,73,0,1,0,+5 laps,,
1976-02-R,5117,17,17,,21,,70,0,1,0,,,Engine
1976-02-R,5099,18,DNF,,9,,52,0,1,0,,,Engine
1976-02-R,5115,19,DNF,,8,,49,0,1,0,,,Engine
1976-02-R,5112,20,DNF,,15,,28,0,1,0,,,Radiator
1976-02-R,5105,21,DNF,,14,,22,0,1,0,,,Oil pressure
1976-02-R,5121,22,DNF,,25,,18,0,1,0,,,Clutch
1976-02-R,5104,23,DNF,,11,,16,0,1,0,,,Oil pressure
1976-02-R,5122,24,DNF,,10,,15,0,1,0,,,Accident
1976-02-R,5123,25,DNF,,16,,0,0,1,0,,,Accident
