sessionId,entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
2021-21-R,7229,1,1,7575118,1,,50,26,1,26,,,
2021-21-R,7228,2,2,7596943,3,,50,18,1,18,21825,15000,
2021-21-R,7233,3,3,7602649,2,,50,15,1,15,27531,,
2021-21-R,7227,4,4,7602751,9,,50,12,1,12,27633,,
2021-21-R,7215,5,5,7615239,11,,50,10,1,10,40121,,
2021-21-R,7221,6,6,7616731,6,,50,8,1,8,41613,,
2021-21-R,7235,7,7,7619593,4,,50,6,1,6,44475,,
2021-21-R,7236,8,8,7621724,15,,50,4,1,4,46606,,
2021-21-R,7234,9,9,7633623,10,,50,2,1,2,58505,,
2021-21-R,7216,10,10,7636476,7,,50,1,1,1,"01:01,36",,
2021-21-R,7225,11,11,7652330,18,,50,0,1,0,"01:17,21",,
2021-21-R,7218,12,12,7658367,16,,50,0,1,0,"01:23,25",,
2021-21-R,7223,13,13,,13,,49,0,1,0,+1 lap,,
2021-21-R,7226,14,14,,8,,49,0,1,0,+1 lap,5000,
2021-21-R,7219,15,15,,12,,49,0,1,0,+1 lap,,
2021-21-R,7217,16,DNF,,17,,44,0,1,0,,,
2021-21-R,7222,17,DNF,,5,,14,0,1,0,,,
2021-21-R,7220,18,DNF,,20,,14,0,1,0,,,
2021-21-R,7232,19,DNF,,14,,14,0,1,0,,,
2021-21-R,7230,20,DNF,,19,,8,0,1,0,,,
