sessionId,entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
2019-01-R,7174,1,1,5127325,2,,58,26,1,26,,,
2019-01-R,7171,2,2,5148211,1,,58,18,1,18,20886,,
2019-01-R,7170,3,3,5149845,4,,58,15,1,15,22520,,
2019-01-R,7159,4,4,5184434,3,,58,12,1,12,57109,,
2019-01-R,7164,5,5,5185555,5,,58,10,1,10,58230,,
2019-01-R,7166,6,6,5214481,7,,58,8,1,8,"01:27,16",,
2019-01-R,7169,7,7,,11,,57,6,1,6,+1 lap,,
2019-01-R,7160,8,8,,9,,57,4,1,4,+1 lap,,
2019-01-R,7165,9,9,,16,,57,2,1,2,+1 lap,,
2019-01-R,7168,10,10,,15,,57,1,1,1,+1 lap,,
2019-01-R,7162,11,11,,17,,57,0,1,0,+1 lap,,
2019-01-R,7158,12,12,,8,,57,0,1,0,+1 lap,,
2019-01-R,7163,13,13,,10,,57,0,1,0,+1 lap,,
2019-01-R,7167,14,14,,13,,57,0,1,0,+1 lap,,
2019-01-R,7176,15,15,,14,,57,0,1,0,+1 lap,,
2019-01-R,7173,16,16,,19,,56,0,1,0,+2 laps,,
2019-01-R,7175,17,17,,20,,55,0,1,0,+3 laps,,
2019-01-R,7161,18,DNF,,6,,29,0,1,0,,,Wheel
2019-01-R,7157,19,DNF,,12,,28,0,1,0,,,Accident damage
2019-01-R,7172,20,DNF,,18,,9,0,1,0,,,Power unit
