entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,timePenalty,reasonRetired
6352,1,1,5914154,2,,71,10,1,10,,
6357,2,2,5922214,3,,71,6,1,6,,
6375,3,3,,5,,70,4,1,4,,
6359,4,4,,7,,70,3,1,3,,
6374,5,5,,6,,70,2,1,2,,
6358,6,6,,9,,70,1,1,1,,
6355,7,7,,12,,69,0,1,0,,
6372,8,8,,15,,69,0,1,0,,
6367,9,9,,22,,65,0,1,0,,
6368,10,10,,25,,64,0,1,0,,
6360,11,DNF,,13,,62,0,1,0,,Engine
6361,12,DNF,,21,,48,0,1,0,,Engine
6371,13,DNF,,18,,47,0,1,0,,Engine
6369,14,DNF,,23,,47,0,1,0,,Spun off
6376,15,DNF,,19,,41,0,1,0,,Electrical
6356,16,DNF,,1,,30,0,1,0,,Gearbox
6353,17,DNF,,4,,30,0,1,0,,Collision
6366,18,DNF,,20,,23,0,1,0,,Gearbox
6364,19,DNF,,16,,16,0,1,0,,Gearbox
6363,20,DNF,,24,,16,0,1,0,,Gearbox
6354,21,DNF,,11,,15,0,1,0,,Spun off
6365,22,DNF,,8,,15,0,1,0,,Gearbox
6362,23,DNF,,26,,12,0,1,0,,Steering
6377,24,DNF,,14,,10,0,1,0,,Electrical
6373,25,DNF,,10,,0,0,1,0,,Collision
6370,26,DNS,,17,,,0,1,0,,Gearbox
