sessionId,entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
2022-01-R,7253,1,1,5853584,1,,57,26,1,26,,,
2022-01-R,7263,2,2,5859182,3,,57,18,1,18,5598,,
2022-01-R,7261,3,3,5863259,5,,57,15,1,15,9675,,
2022-01-R,7264,4,4,5864795,9,,57,12,1,12,11211,,
2022-01-R,7255,5,5,5868338,7,,57,10,1,10,14754,,
2022-01-R,7265,6,6,5869703,6,,57,8,1,8,16119,,
2022-01-R,7260,7,7,5873007,11,,57,6,1,6,19423,,
2022-01-R,7256,8,8,5873970,16,,57,4,1,4,20386,,
2022-01-R,7252,9,9,5875974,8,,57,2,1,2,22390,,
2022-01-R,7258,10,10,5876648,15,,57,1,1,1,23064,,
2022-01-R,7262,11,11,5886158,12,,57,0,1,0,32574,,
2022-01-R,7254,12,12,5899457,19,,57,0,1,0,45873,,
2022-01-R,7257,13,13,5907516,14,,57,0,1,0,53932,,
2022-01-R,7246,14,14,5908559,18,,57,0,1,0,54975,,
2022-01-R,7247,15,15,5909919,13,,57,0,1,0,56335,,
2022-01-R,7249,16,16,5915379,20,,57,0,1,0,"01:01,80",,
2022-01-R,7259,17,17,5917413,17,,57,0,1,0,"01:03,83",,
2022-01-R,7251,18,18,,4,,56,0,1,0,,,Fuel system
2022-01-R,7245,19,19,,2,,54,0,1,0,,,Fuel system
2022-01-R,7250,20,DNF,,10,,44,0,1,0,,,Power unit
