entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
7081,1,1,6031402,1,,71,25,1,25,,,
7066,2,2,6039756,2,,71,18,1,18,8354,,
7064,3,3,6052260,4,,71,15,1,15,20858,,
7090,4,4,6052725,3,,71,12,1,12,21323,5000,
7065,5,5,6058715,7,,71,10,1,10,27313,10000,
7067,6,6,6080778,6,,71,8,1,8,49376,,
7078,7,7,6090293,5,,71,6,1,6,58891,,
7083,8,8,6097014,8,,71,4,1,4,"01:05,61",,
7073,9,9,6107608,9,,71,2,1,2,"01:16,21",,
7070,10,10,6108200,12,,71,1,1,1,"01:16,80",,
7069,11,11,,15,,70,0,1,0,+1 lap,,
7076,12,12,,13,,70,0,1,0,+1 lap,,
7072,13,13,,11,,70,0,1,0,+1 lap,,
7079,14,14,,21,,70,0,1,0,+1 lap,,
7071,15,15,,19,,70,0,1,0,+1 lap,,
7082,16,16,,10,,70,0,1,0,+1 lap,5000,
7074,17,17,,14,,70,0,1,0,+1 lap,,
7089,18,18,,18,,70,0,1,0,+1 lap,5000,
7075,19,19,,17,,70,0,1,0,+1 lap,,
7068,20,20,,PL,,70,0,1,0,+1 lap,,
7093,21,21,,20,,69,0,1,0,+2 laps,,
7085,22,DNF,,16,,0,0,1,0,,,Collision
