sessionId,entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
1985-11-R,5802,1,1,5549263,10,,70,9,1,9,,,
1985-11-R,5803,2,2,5549495,3,,70,6,1,6,232,,
1985-11-R,5814,3,3,5597754,4,,70,4,1,4,48491,,
1985-11-R,5827,4,4,5598100,16,,70,3,1,3,48837,,
1985-11-R,5813,5,5,,11,,69,2,1,2,+1 lap,,
1985-11-R,5807,6,6,,7,,69,1,1,1,+1 lap,,
1985-11-R,5837,7,7,,21,,69,0,1,0,+1 lap,,
1985-11-R,5809,8,8,,1,,69,0,1,0,+1 lap,,
1985-11-R,5817,9,9,,14,,68,0,1,0,+2 laps,,
1985-11-R,5834,10,10,,9,,65,0,1,0,+5 laps,,
1985-11-R,5845,11,NC,,26,,56,0,1,0,+14 laps,,
1985-11-R,5818,12,DNF,,8,,54,0,1,0,,,Suspension
1985-11-R,5846,13,DNF,,25,,52,0,1,0,,,Engine
1985-11-R,5849,14,DNF,,22,,39,0,1,0,,,Engine
1985-11-R,5839,15,DNF,,12,,27,0,1,0,,,Gearbox
1985-11-R,5825,16,DNF,,18,,25,0,1,0,,,Turbo
1985-11-R,5838,17,DNF,,6,,22,0,1,0,,,Transmission
1985-11-R,5808,18,DNF,,2,,20,0,1,0,,,Engine
1985-11-R,5833,19,DNF,,5,,18,0,1,0,,,Wheel bearing
1985-11-R,5826,20,DNF,,13,,17,0,1,0,,,Electrical
1985-11-R,5831,21,DNF,,23,,13,0,1,0,,,Oil pressure
1985-11-R,5848,22,DNF,,15,,12,0,1,0,,,Engine
1985-11-R,5830,23,DNF,,17,,9,0,1,0,,,Engine
1985-11-R,5832,24,DNF,,24,,1,0,1,0,,,Accident
1985-11-R,5840,25,DNF,,20,,1,0,1,0,,,Turbo
1985-11-R,5844,26,DNF,,19,,1,0,1,0,,,Turbo
