sessionId,entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
1990-03-R,6063,1,1,5455478,3,,61,9,1,9,,,
1990-03-R,6084,2,2,5460595,2,,61,6,1,6,5117,,
1990-03-R,6102,3,3,5461718,9,,61,4,1,4,6240,,
1990-03-R,6058,4,4,5462321,6,,61,3,1,3,6843,,
1990-03-R,6103,5,5,5508590,8,,61,2,1,2,53112,,
1990-03-R,6096,6,6,,7,,60,1,1,1,+1 lap,,
1990-03-R,6068,7,7,,10,,60,0,1,0,+1 lap,,
1990-03-R,6069,8,8,,11,,60,0,1,0,+1 lap,,
1990-03-R,6082,9,9,,16,,60,0,1,0,+1 lap,,
1990-03-R,6081,10,10,,20,,59,0,1,0,+2 laps,,
1990-03-R,6105,11,11,,26,,59,0,1,0,+2 laps,,
1990-03-R,6109,12,12,,25,,59,0,1,0,+2 laps,,
1990-03-R,6106,13,13,,13,,56,0,1,0,,,Clutch
1990-03-R,6099,14,DNF,,22,,52,0,1,0,,,Wheel
1990-03-R,6094,15,DNF,,5,,38,0,1,0,,,Engine
1990-03-R,6108,16,DNF,,23,,35,0,1,0,,,Engine
1990-03-R,6098,17,DNF,,14,,31,0,1,0,,,Brakes
1990-03-R,6078,18,DNF,,17,,29,0,1,0,,,Wheel
1990-03-R,6071,19,DNF,,12,,24,0,1,0,,,Electrical
1990-03-R,6062,20,DNF,,4,,17,0,1,0,,,Engine
1990-03-R,6107,21,DNF,,15,,17,0,1,0,,,Clutch
1990-03-R,6083,22,DNF,,1,,3,0,1,0,,,Wheel
1990-03-R,6104,23,DNF,,21,,2,0,1,0,,,Spun off
1990-03-R,6072,24,DNF,,18,,0,0,1,0,,,Collision
1990-03-R,6095,25,DNF,,19,,0,0,1,0,,,Collision
1990-03-R,6088,26,DNF,,24,,0,0,1,0,,,Throttle
