sessionId,entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
2010-04-R,6847,1,1,6402163,5,,56,25,1,25,,,
2010-04-R,6848,2,2,6403693,6,,56,18,1,18,1530,,
2010-04-R,6850,3,3,6411647,4,,56,15,1,15,9484,,
2010-04-R,6854,4,4,6414032,3,,56,12,1,12,11869,,
2010-04-R,6857,5,5,6424376,8,,56,10,1,10,22213,,
2010-04-R,6851,6,6,6435473,1,,56,8,1,8,33310,,
2010-04-R,6858,7,7,6449763,14,,56,6,1,6,47600,,
2010-04-R,6852,8,8,6454335,2,,56,4,1,4,52172,,
2010-04-R,6853,9,9,6459959,7,,56,2,1,2,57796,,
2010-04-R,6849,10,10,6463912,9,,56,1,1,1,"01:01,75",,
2010-04-R,6859,11,11,6465037,10,,56,0,1,0,"01:02,87",,
2010-04-R,6855,12,12,6465828,11,,56,0,1,0,"01:03,66",,
2010-04-R,6862,13,13,6473579,12,,56,0,1,0,"01:11,42",,
2010-04-R,6864,14,14,,21,,55,0,1,0,+1 lap,,
2010-04-R,6856,15,15,,16,,55,0,1,0,+1 lap,,
2010-04-R,6866,16,16,,23,,54,0,1,0,+2 laps,,
2010-04-R,6865,17,17,,PL,5,52,0,1,0,+4 laps,,
2010-04-R,6863,18,DNF,,20,,26,0,1,0,,,Hydraulics
2010-04-R,6870,19,DNF,,22,,8,0,1,0,,,Clutch
2010-04-R,6867,20,DNF,,17,,7,0,1,0,,,Engine
2010-04-R,6861,21,DNF,,13,,0,0,1,0,,,Collision
2010-04-R,6868,22,DNF,,15,,0,0,1,0,,,Collision
2010-04-R,6860,23,DNF,,18,,0,0,1,0,,,Collision
2010-04-R,6869,24,DNS,,19,,,0,1,0,,,
