entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,timePenalty,reasonRetired
6430,1,1,5435896,1,,64,10,1,10,,
6440,2,2,5441700,12,,64,6,1,6,,
6434,3,3,5448430,4,,64,4,1,4,,
6432,4,4,5453875,7,,64,3,1,3,,
6442,5,5,5463882,10,,64,2,1,2,,
6437,6,6,5465640,3,,64,1,1,1,,
6436,7,7,5484681,5,,64,0,1,0,,
6431,8,8,5500035,2,,64,0,1,0,,
6439,9,9,5500663,8,,64,0,1,0,,
6435,10,10,5501566,6,,64,0,1,0,,
6444,11,11,,19,,63,0,1,0,,
6433,12,12,,11,,63,0,1,0,,
6449,13,13,,22,,63,0,1,0,,
6452,14,14,,13,,62,0,1,0,,
6447,15,15,,18,,62,0,1,0,,
6429,16,DNF,,21,,53,0,1,0,,Engine
6438,17,DNF,,9,,50,0,1,0,,Engine
6448,18,DNF,,17,,37,0,1,0,,Engine
6445,19,DNF,,14,,35,0,1,0,,Puncture
6441,20,DNF,,16,,34,0,1,0,,Gearbox
6428,21,DNF,,15,,18,0,1,0,,Engine
6446,22,DNF,,20,,11,0,1,0,,Gearbox
