entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,timePenalty,reasonRetired
5098,1,1,6316780,2,,40,9,1,9,,
5101,2,2,6338250,9,,40,6,1,6,,
5111,3,3,6340620,12,,40,4,1,4,,
5119,4,4,6404950,14,,40,3,1,3,,
5100,5,5,6433240,13,,40,2,1,2,,
5109,6,6,6435050,6,,40,1,1,1,,
5099,7,7,6452020,4,,40,0,1,0,,
5113,8,8,,19,,39,0,1,0,,
5114,9,9,,17,,39,0,1,0,,
5105,10,10,,10,,39,0,1,0,,
5118,11,11,,20,,39,0,1,0,,
5104,12,12,,15,,37,0,1,0,,Out of fuel
5117,13,13,,5,,37,0,1,0,,
5107,14,14,,22,,36,0,1,0,,
5112,15,DNF,,3,,33,0,1,0,,Accident
5108,16,DNF,,1,,32,0,1,0,,Throttle
5106,17,DNF,,7,,15,0,1,0,,Oil leak
5115,18,DNF,,11,,14,0,1,0,,Transmission
5102,19,DNF,,18,,10,0,1,0,,Accident
5103,20,DNF,,16,,6,0,1,0,,Accident
5116,21,DNF,,8,,2,0,1,0,,Fuel system
5110,22,DNF,,21,,2,0,1,0,,Oil pump
