sessionId,entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
1970-09-R,4195,1,1,6137320,3,,60,9,1,9,,,
1970-09-R,4204,2,2,6137930,2,,60,6,1,6,610,,
1970-09-R,4194,3,3,6225200,17,,60,4,1,4,"01:27,88",,
1970-09-R,4058,4,4,,22,,59,3,1,3,+1 lap,,
1970-09-R,4057,5,5,,14,,59,2,1,2,+1 lap,,
1970-09-R,4199,6,6,,7,,59,1,1,1,+1 lap,,
1970-09-R,4196,7,7,,5,,59,0,1,0,+1 lap,,
1970-09-R,4188,8,8,,6,,59,0,1,0,+1 lap,,
1970-09-R,4187,9,9,,20,,59,0,1,0,+1 lap,,
1970-09-R,4202,10,10,,21,,59,0,1,0,+1 lap,,
1970-09-R,4198,11,11,,23,,58,0,1,0,+2 laps,,
1970-09-R,4201,12,12,,15,,57,0,1,0,+3 laps,,
1970-09-R,4193,13,13,,8,,56,0,1,0,+4 laps,,
1970-09-R,4133,14,14,,13,,56,0,1,0,+4 laps,,
1970-09-R,4191,15,15,,16,,55,0,1,0,+5 laps,,
1970-09-R,4200,16,DNF,,11,,30,0,1,0,,,Engine
1970-09-R,4197,17,DNF,,12,,27,0,1,0,,,Engine
1970-09-R,4203,18,DNF,,19,,25,0,1,0,,,Engine
1970-09-R,4120,19,DNF,,1,,21,0,1,0,,,Engine
1970-09-R,4137,20,DNF,,24,,13,0,1,0,,,Radiator
1970-09-R,4189,21,DNF,,18,,13,0,1,0,,,Accident
1970-09-R,3998,22,DNF,,4,,7,0,1,0,,,Fuel pipe
1970-09-R,4190,23,DNF,,10,,4,0,1,0,,,Brakes
1970-09-R,4116,24,DNF,,9,,0,0,1,0,,,Engine
