entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
7251,1,1,7340238,2,,59,25,1,25,,5000,
7253,2,2,7342833,1,,59,18,1,18,2595,,
7263,3,3,7350543,4,,59,15,1,15,10305,,
7247,4,4,7361371,6,,59,12,1,12,21133,,
7246,5,5,7393520,16,,59,10,1,10,53282,,
7254,6,6,7396568,11,,59,8,1,8,56330,,
7245,7,7,7399063,8,,59,6,1,6,58825,,
7248,8,8,7400270,13,,59,4,1,4,"01:00,03",,
7261,9,9,7401753,3,,59,2,1,2,"01:01,52",,
7250,10,10,7409814,7,,59,1,1,1,"01:09,58",,
7265,11,11,7429082,15,,59,0,1,0,"01:28,84",,
7255,12,12,7432848,9,,59,0,1,0,"01:32,61",,
7262,13,13,,12,,58,0,1,0,+1 lap,,
7264,14,14,,PL,SFB,57,0,1,0,+2 laps,,
7256,15,DNF,,10,,34,0,1,0,,,Accident
7260,16,DNF,,17,,26,0,1,0,,,Engine
7257,17,DNF,,18,,25,0,1,0,,,Collision damage
7252,18,DNF,,5,,20,0,1,0,,,Engine
7249,19,DNF,,19,,7,0,1,0,,,Collision damage
7258,20,DNF,,14,,6,0,1,0,,,Collision
