sessionId,entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
2006-14-R,6720,1,1,5331082,1,,58,10,1,10,,,
2006-14-R,6715,2,2,5336657,3,,58,8,1,8,5575,,
2006-14-R,6719,3,3,5336738,2,,58,6,1,6,5656,,
2006-14-R,6726,4,4,5343416,6,,58,5,1,5,12334,,
2006-14-R,6749,5,5,5376990,11,,58,4,1,4,45908,,
2006-14-R,6716,6,6,5377676,4,,58,3,1,3,46594,,
2006-14-R,6746,7,7,5390419,15,10,58,2,1,2,59337,,
2006-14-R,6725,8,8,5391116,13,,58,1,1,1,"01:00,03",,
2006-14-R,6747,9,9,,12,,57,0,1,0,+1 lap,,
2006-14-R,6723,10,10,,9,,57,0,1,0,+1 lap,,
2006-14-R,6728,11,11,,10,,57,0,1,0,+1 lap,,
2006-14-R,6752,12,12,,8,,57,0,1,0,+1 lap,,
2006-14-R,6734,13,13,,17,,57,0,1,0,+1 lap,,
2006-14-R,6729,14,14,,5,,56,0,1,0,+2 laps,,
2006-14-R,6727,15,15,,16,,55,0,1,0,+3 laps,,
2006-14-R,6732,16,DNF,,22,10,46,0,1,0,,,Spin
2006-14-R,6750,17,NC,,21,,41,0,1,0,+17 laps,,
2006-14-R,6724,18,DNF,,14,,25,0,1,0,,,Water leak
2006-14-R,6751,19,DNF,,20,,23,0,1,0,,,Spin
2006-14-R,6733,20,DNF,,18,,12,0,1,0,,,Spin
2006-14-R,6717,21,DNF,,7,,1,0,1,0,,,Accident
2006-14-R,6731,22,DNF,,19,,0,0,1,0,,,Collision
