sessionId,entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
1998-16-R,6468,1,1,5242535,2,,51,10,1,10,,,
1998-16-R,6464,2,2,5249026,4,,51,6,1,6,6491,,
1998-16-R,6467,3,3,5270197,3,,51,4,1,4,27662,,
1998-16-R,6469,4,4,5316026,8,,51,3,1,3,"01:13,49",,
1998-16-R,6462,5,5,5316392,5,,51,2,1,2,"01:13,86",,
1998-16-R,6461,6,6,5318402,6,,51,1,1,1,"01:15,87",,
1998-16-R,6473,7,7,5338588,12,,51,0,1,0,"01:36,05",,
1998-16-R,6465,8,8,5343836,10,,51,0,1,0,"01:41,30",,
1998-16-R,6466,9,9,,9,,50,0,1,0,+1 lap,,
1998-16-R,6474,10,10,,11,,50,0,1,0,+1 lap,,
1998-16-R,6471,11,11,,13,,50,0,1,0,+1 lap,,
1998-16-R,6472,12,12,,14,,48,0,1,0,,,Engine
1998-16-R,6481,13,DNF,,20,,40,0,1,0,,,Throttle
1998-16-R,6463,14,DNF,,1,,31,0,1,0,,,Tyre
1998-16-R,6480,15,DNF,,17,,28,0,1,0,,,Collision damage
1998-16-R,6482,16,DNF,,21,,28,0,1,0,,,Collision
1998-16-R,6477,17,DNF,,16,,25,0,1,0,,,Hydraulics
1998-16-R,6483,18,DNF,,19,,21,0,1,0,,,Gearbox
1998-16-R,6476,19,DNF,,15,,14,0,1,0,,,Hydraulics
1998-16-R,6470,20,DNF,,7,,13,0,1,0,,,Engine
1998-16-R,6475,21,DNF,,18,,2,0,1,0,,,Spun off
