sessionId,entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
2014-16-R,7017,1,1,5510744,1,,53,25,1,25,,,
2014-16-R,7001,2,2,5524401,2,,53,18,1,18,13657,,
2014-16-R,7018,3,3,5528169,3,,53,15,1,15,17425,,
2014-16-R,7013,4,4,5540978,4,,53,12,1,12,30234,,
2014-16-R,7011,5,5,5564360,11,5,53,10,1,10,53616,,
2014-16-R,7008,6,6,5570760,7,,53,8,1,8,"01:00,02",,
2014-16-R,6999,7,7,5572556,6,,53,6,1,6,"01:01,81",,
2014-16-R,6998,8,8,5576929,10,,53,4,1,4,"01:06,19",,
2014-16-R,7002,9,9,5589621,8,,53,2,1,2,"01:18,88",,
2014-16-R,7006,10,10,5590811,12,,53,1,1,1,"01:20,07",,
2014-16-R,7010,11,11,5591621,18,,53,0,1,0,"01:20,88",,
2014-16-R,7016,12,12,5592053,17,5,53,0,1,0,"01:21,31",,
2014-16-R,7014,13,13,5608039,9,,53,0,1,0,"01:37,30",,
2014-16-R,7015,14,14,,5,,52,0,1,0,+1 lap,,
2014-16-R,7012,15,15,,13,,52,0,1,0,+1 lap,,
2014-16-R,7019,16,16,,14,,52,0,1,0,+1 lap,,
2014-16-R,7003,17,17,,15,,52,0,1,0,+1 lap,,
2014-16-R,7007,18,18,,21,10,52,0,1,0,+1 lap,,
2014-16-R,7004,19,19,,16,,51,0,1,0,+2 laps,,
2014-16-R,7005,20,DNF,,19,,21,0,1,0,,,Brakes
2014-16-R,7000,21,DNF,,20,5,9,0,1,0,,,Suspension
