entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,timePenalty,reasonRetired
7017,1,1,5510744,1,,53,25,1,25,,
7001,2,2,5524401,2,,53,18,1,18,,
7018,3,3,5528169,3,,53,15,1,15,,
7013,4,4,5540978,4,,53,12,1,12,,
7011,5,5,5564360,11,5,53,10,1,10,,
7008,6,6,5570760,7,,53,8,1,8,,
6999,7,7,5572556,6,,53,6,1,6,,
6998,8,8,5576929,10,,53,4,1,4,,
7002,9,9,5589621,8,,53,2,1,2,,
7006,10,10,5590811,12,,53,1,1,1,,
7010,11,11,5591621,18,,53,0,1,0,,
7016,12,12,5592053,17,5,53,0,1,0,,
7014,13,13,5608039,9,,53,0,1,0,,
7015,14,14,,5,,52,0,1,0,,
7012,15,15,,13,,52,0,1,0,,
7019,16,16,,14,,52,0,1,0,,
7003,17,17,,15,,52,0,1,0,,
7007,18,18,,21,10,52,0,1,0,,
7004,19,19,,16,,51,0,1,0,,
7005,20,DNF,,19,,21,0,1,0,,Brakes
7000,21,DNF,,20,5,9,0,1,0,,Suspension
