entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
5325,1,1,6721301,1,,80,9,1,9,,,
5298,2,2,6732362,4,,80,6,1,6,11061,,
5297,3,3,6750252,12,,80,4,1,4,28951,,
5299,4,4,6766904,6,,80,3,1,3,45603,,
5316,5,5,6804185,14,,80,2,1,2,"01:22,88",,
5333,6,6,,9,,79,1,1,1,+1 lap,,
5317,7,7,,8,,79,0,1,0,+1 lap,,
5306,8,8,,15,,79,0,1,0,+1 lap,,
5334,9,9,,18,,79,0,1,0,+1 lap,,
5308,10,10,,20,,79,0,1,0,+1 lap,,
5303,11,11,,19,,75,0,1,0,+5 laps,,
5301,12,12,,11,,74,0,1,0,,,Accident
5336,13,DNF,,10,,59,0,1,0,,,Accident
5310,14,DNF,,17,,50,0,1,0,,,Transmission
5327,15,DNF,,13,,43,0,1,0,,,Turbo
5326,16,DNF,,2,,38,0,1,0,,,Accident
5323,17,DNF,,3,,27,0,1,0,,,Ignition
5296,18,DNF,,22,,25,0,1,0,,,Gearbox
5320,19,DNF,,21,,17,0,1,0,,,Gearbox
5302,20,DNF,,16,,11,0,1,0,,,Brakes
5324,21,DNF,,5,,9,0,1,0,,,Engine
5300,22,DNF,,7,,5,0,1,0,,,Accident
