sessionId,entrantId,positionOrder,positionText,laps,time
2010-13-FP1,6854,1,1,17,120797
2010-13-FP1,6848,2,2,7,121567
2010-13-FP1,6857,3,3,14,122081
2010-13-FP1,6851,4,4,11,122450
2010-13-FP1,6859,5,5,14,122646
2010-13-FP1,6847,6,6,6,122913
2010-13-FP1,6852,7,7,11,122926
2010-13-FP1,6868,8,8,17,123401
2010-13-FP1,6855,9,9,7,123424
2010-13-FP1,6849,10,10,9,123489
2010-13-FP1,6853,11,11,17,123601
2010-13-FP1,6856,12,12,17,123649
2010-13-FP1,6850,13,13,6,123654
2010-13-FP1,6867,14,14,17,123851
2010-13-FP1,6860,15,15,12,124145
2010-13-FP1,6862,16,16,16,124250
2010-13-FP1,6858,17,17,15,124690
2010-13-FP1,6861,18,18,6,125680
2010-13-FP1,6869,19,19,18,125697
2010-13-FP1,6870,20,20,14,126695
2010-13-FP1,6863,21,21,15,127189
2010-13-FP1,6866,22,22,13,127737
2010-13-FP1,6864,23,23,15,127955
2010-13-FP1,6878,24,24,18,130507
