entrantId,positionOrder,positionText,laps,time
6328,1,1,9,145099
6291,2,2,5,145501
6331,3,3,9,145570
6332,4,4,9,147180
6310,5,5,9,148026
6290,6,6,5,148164
6294,7,7,4,148428
6292,8,8,3,148576
6293,9,9,7,148997
6329,10,10,7,149391
6289,11,11,8,149925
6325,12,12,7,150475
6302,13,13,8,150524
6323,14,14,5,150896
6295,15,15,11,150931
6305,16,16,6,151025
6335,17,17,7,151350
6296,18,18,7,151403
6306,19,19,5,151501
6324,20,20,3,152286
6321,21,21,4,152610
6334,22,22,9,154733
6314,23,23,8,154951
6330,24,24,2,160280
6311,25,25,3,161593
