sessionId,entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
2012-06-R,6930,1,1,6366557,1,,78,25,1,25,,,
2012-06-R,6936,2,2,6367200,2,,78,18,1,18,643,,
2012-06-R,6933,3,3,6367504,5,,78,15,1,15,947,,
2012-06-R,6929,4,4,6367900,9,,78,12,1,12,1343,,
2012-06-R,6932,5,5,6370658,3,,78,10,1,10,4101,,
2012-06-R,6934,6,6,6372752,7,,78,8,1,8,6195,,
2012-06-R,6939,7,7,6408094,14,,78,6,1,6,41537,,
2012-06-R,6940,8,8,6409119,10,,78,4,1,4,42562,,
2012-06-R,6937,9,9,6410593,8,,78,2,1,2,44036,,
2012-06-R,6946,10,10,6411073,13,,78,1,1,1,44516,,
2012-06-R,6942,11,11,,23,5,77,0,1,0,+1 lap,,
2012-06-R,6944,12,12,,16,,77,0,1,0,+1 lap,,
2012-06-R,6947,13,13,,17,,77,0,1,0,+1 lap,,
2012-06-R,6951,14,14,,19,,77,0,1,0,+1 lap,,
2012-06-R,6950,15,15,,22,,76,0,1,0,+2 laps,,
2012-06-R,6931,16,16,,12,,70,0,1,0,,,Collision
2012-06-R,6943,17,DNF,,15,,65,0,1,0,,,Steering
2012-06-R,6952,18,DNF,,21,,64,0,1,0,,,Electrical
2012-06-R,6935,19,DNF,,6,5,63,0,1,0,,,Fuel pressure
2012-06-R,6948,20,DNF,,18,,15,0,1,0,,,Electrical
2012-06-R,6941,21,DNF,,11,,5,0,1,0,,,Collision damage
2012-06-R,6938,22,DNF,,4,,0,0,1,0,,,Collision
2012-06-R,6949,23,DNF,,20,,0,0,1,0,,,Collision
2012-06-R,6945,24,DNF,,24,15,0,0,1,0,,,Collision
