entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,timePenalty,reasonRetired
7017,1,1,6703021,2,,44,25,1,25,,
7001,2,2,6712201,1,,44,18,1,18,,
6998,3,3,6732143,9,,44,15,1,15,,
6999,4,4,6741839,6,,44,12,1,12,,
7013,5,5,6770571,8,,44,10,1,10,,
7018,6,6,6816794,3,,44,8,1,8,,
7010,7,7,6818147,4,,44,6,1,6,,
7016,8,8,6818969,13,,44,4,1,4,,
7014,9,9,6830659,20,10,44,2,1,2,,
7006,10,10,,11,,43,1,1,1,,
7015,11,11,,12,,43,0,1,0,,
7002,12,12,,10,,43,0,1,0,,
7012,13,13,,15,,43,0,1,0,,
7011,14,14,,7,,43,0,1,0,,
7003,15,15,,16,,43,0,1,0,,
7007,16,16,,22,10,43,0,1,0,20000,
7004,17,17,,17,,43,0,1,0,,
7000,18,18,,21,,43,0,1,0,,
7005,19,19,,19,,43,0,1,0,,
7009,20,20,,18,,41,0,1,0,,Fatal accident
7019,21,21,,14,,40,0,1,0,,Accident
7008,22,DNF,,5,,2,0,1,0,,Electrical
