sessionId,entrantId,positionOrder,positionText,laps,time
1995-16-FP2,6384,1,1,12,100389
1995-16-FP2,6365,2,2,14,100674
1995-16-FP2,6393,3,3,15,100741
1995-16-FP2,6352,4,4,20,100765
1995-16-FP2,6374,5,5,17,100899
1995-16-FP2,6377,6,6,8,101116
1995-16-FP2,6394,7,7,21,101151
1995-16-FP2,6375,8,8,22,101699
1995-16-FP2,6383,9,9,20,101789
1995-16-FP2,6364,10,10,21,101924
1995-16-FP2,6373,11,11,23,102017
1995-16-FP2,6353,12,12,22,102749
1995-16-FP2,6372,13,13,20,103084
1995-16-FP2,6354,14,14,22,103309
1995-16-FP2,6355,15,15,22,103324
1995-16-FP2,6376,16,16,23,104177
1995-16-FP2,6360,17,17,16,104231
1995-16-FP2,6361,18,18,21,104892
1995-16-FP2,6389,19,19,23,105010
1995-16-FP2,6371,20,20,20,105956
1995-16-FP2,6367,21,21,10,106860
1995-16-FP2,6369,22,22,13,108048
1995-16-FP2,6368,23,23,21,108203
1995-16-FP2,6366,24,24,17,109184
