sessionId,entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
2010-11-R,6854,1,1,5258864,2,,67,25,1,25,,,
2010-11-R,6853,2,2,5263060,3,,67,18,1,18,4196,,
2010-11-R,6851,3,3,5263985,1,,67,15,1,15,5121,,
2010-11-R,6848,4,4,5285760,6,,67,12,1,12,26896,,
2010-11-R,6847,5,5,5288346,5,,67,10,1,10,29482,,
2010-11-R,6852,6,6,5302470,4,,67,8,1,8,43606,,
2010-11-R,6857,7,7,,7,,66,6,1,6,+1 lap,,
2010-11-R,6850,8,8,,9,,66,4,1,4,+1 lap,,
2010-11-R,6849,9,9,,11,,66,2,1,2,+1 lap,,
2010-11-R,6858,10,10,,13,,66,1,1,1,+1 lap,,
2010-11-R,6868,11,11,,12,,66,0,1,0,+1 lap,,
2010-11-R,6855,12,12,,8,,66,0,1,0,+1 lap,,
2010-11-R,6856,13,13,,10,,66,0,1,0,+1 lap,,
2010-11-R,6867,14,14,,14,,66,0,1,0,+1 lap,,
2010-11-R,6862,15,15,,15,,66,0,1,0,+1 lap,,
2010-11-R,6860,16,16,,21,,65,0,1,0,+2 laps,,
2010-11-R,6859,17,17,,19,5,65,0,1,0,+2 laps,,
2010-11-R,6869,18,18,,23,10,64,0,1,0,+3 laps,,
2010-11-R,6866,19,19,,20,,63,0,1,0,+4 laps,,
2010-11-R,6864,20,DNF,,18,,56,0,1,0,,,Collision damage
2010-11-R,6870,21,DNF,,24,5,50,0,1,0,,,Suspension
2010-11-R,6878,22,DNF,,22,,19,0,1,0,,,Gearbox
2010-11-R,6863,23,DNF,,17,,3,0,1,0,,,Gearbox
2010-11-R,6861,24,DNF,,16,,1,0,1,0,,,Collision damage
