entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
6818,1,1,6966337,1,,61,10,1,10,,,
6827,2,2,6975971,6,,61,8,1,8,9634,,
6843,3,3,6982961,5,,61,6,1,6,16624,,
6831,4,4,6986598,2,,61,5,1,5,20261,,
6836,5,5,6996352,11,,61,4,1,4,30015,,
6837,6,6,6998195,9,5,61,3,1,3,31858,,
6819,7,7,7002494,8,,61,2,1,2,36157,,
6822,8,8,7021391,7,,61,1,1,1,55054,,
6833,9,9,7022391,10,,61,0,1,0,56054,,
6821,10,10,7025229,12,,61,0,1,0,58892,,
6832,11,11,7026114,3,,61,0,1,0,59777,,
6826,12,12,7039346,14,,61,0,1,0,"01:13,01",,
6841,13,13,7046227,17,,61,0,1,0,"01:19,89",,
6842,14,14,7059839,19,,61,0,1,0,"01:33,50",,
6838,15,DNF,,16,,47,0,1,0,,,Brakes
6829,16,DNF,,13,,47,0,1,0,,,Gearbox
6830,17,DNF,,4,,45,0,1,0,,,Brakes
6834,18,DNF,,15,,23,0,1,0,,,Collision damage
6823,19,DNF,,PL,,19,0,1,0,,,Collision
6844,20,DNF,,18,,3,0,1,0,,,Brakes
