sessionId,entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
2017-17-R,7112,1,1,5630991,1,,56,25,1,25,,,
2017-17-R,7097,2,2,5641134,2,,56,18,1,18,10143,,
2017-17-R,7098,3,3,5646770,5,,56,15,1,15,15779,,
2017-17-R,7110,4,4,5647759,16,15,56,12,1,12,16768,5000,
2017-17-R,7114,5,5,5665958,3,,56,10,1,10,34967,,
2017-17-R,7109,6,6,5721971,6,,56,8,1,8,"01:30,98",,
2017-17-R,7125,7,7,5723935,7,,56,6,1,6,"01:32,94",,
2017-17-R,7101,8,8,,9,,55,4,1,4,+1 lap,,
2017-17-R,7104,9,9,,10,,55,2,1,2,+1 lap,,
2017-17-R,7106,10,10,,11,,55,1,1,1,+1 lap,,
2017-17-R,7103,11,11,,15,3,55,0,1,0,+1 lap,,
2017-17-R,7095,12,12,,20,30,55,0,1,0,+1 lap,,
2017-17-R,7124,13,13,,19,25,55,0,1,0,+1 lap,,
2017-17-R,7099,14,14,,12,,55,0,1,0,+1 lap,,
2017-17-R,7100,15,15,,13,,55,0,1,0,+1 lap,5000,
2017-17-R,7105,16,16,,17,3,55,0,1,0,+1 lap,,
2017-17-R,7102,17,DNF,,8,,24,0,1,0,,,Engine
2017-17-R,7096,18,DNF,,4,,14,0,1,0,,,Engine
2017-17-R,7115,19,DNF,,14,,5,0,1,0,,,Collision damage
2017-17-R,7107,20,DNF,,18,20,3,0,1,0,,,Engine
