entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
6964,1,1,5472187,1,,60,25,1,25,,,
6972,2,2,5502010,2,,60,18,1,18,29823,,
6971,3,3,5512079,17,,60,15,1,15,39892,,
6967,4,4,5513879,5,,60,12,1,12,41692,,
6969,5,5,5516016,9,,60,10,1,10,43829,,
6973,6,6,5524662,3,,60,8,1,8,52475,,
6970,7,7,5540175,6,,60,6,1,6,"01:07,99",,
6976,8,8,5545055,12,,60,4,1,4,"01:12,87",,
6977,9,9,5546921,13,,60,2,1,2,"01:14,73",,
6981,10,10,5548424,11,,60,1,1,1,"01:16,24",,
6966,11,11,5550484,8,,60,0,1,0,"01:18,30",,
6978,12,12,5551138,18,,60,0,1,0,"01:18,95",,
6980,13,13,,14,,59,0,1,0,+1 lap,,
6968,14,14,,10,,59,0,1,0,+1 lap,,
6975,15,15,,16,,59,0,1,0,+1 lap,,
6979,16,16,,15,,59,0,1,0,+1 lap,,
6985,17,17,,22,,58,0,1,0,+2 laps,,
6984,18,18,,19,,58,0,1,0,+2 laps,,
6974,19,19,,7,,54,0,1,0,,,Gearbox
6965,20,DNF,,4,,39,0,1,0,,,Alternator
6982,21,DNF,,21,,35,0,1,0,,,Hydraulics
6983,22,DNF,,20,,1,0,1,0,,,Collision
