sessionId,entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
2016-10-R,7081,1,1,5695831,1,,52,25,1,25,,,
2016-10-R,7090,2,2,5704081,3,,52,18,1,18,8250,,
2016-10-R,7066,3,3,5712742,2,,52,15,1,15,16911,10000,
2016-10-R,7064,4,4,5722042,4,,52,12,1,12,26211,,
2016-10-R,7067,5,5,5765574,5,,52,10,1,10,"01:09,74",,
2016-10-R,7070,6,6,5772772,10,,52,8,1,8,"01:16,94",,
2016-10-R,7078,7,7,5773543,8,,52,6,1,6,"01:17,71",,
2016-10-R,7082,8,8,5781689,7,,52,4,1,4,"01:25,86",,
2016-10-R,7065,9,9,5787485,11,5,52,2,1,2,"01:31,65",5000,
2016-10-R,7089,10,10,5788431,15,,52,1,1,1,"01:32,60",,
2016-10-R,7073,11,11,,12,,51,0,1,0,+1 lap,,
2016-10-R,7076,12,12,,17,,51,0,1,0,+1 lap,,
2016-10-R,7072,13,13,,9,,51,0,1,0,+1 lap,,
2016-10-R,7083,14,14,,6,,51,0,1,0,+1 lap,,
2016-10-R,7071,15,15,,21,,51,0,1,0,+1 lap,,
2016-10-R,7075,16,16,,14,,51,0,1,0,+1 lap,,
2016-10-R,7074,17,17,,16,,49,0,1,0,,,Gearbox
2016-10-R,7079,18,DNF,,18,,37,0,1,0,,,Gearbox
2016-10-R,7084,19,DNF,,19,,24,0,1,0,,,Spun off
2016-10-R,7068,20,DNF,,13,,17,0,1,0,,,Transmission
2016-10-R,7069,21,DNF,,PL,,11,0,1,0,,,Power unit
2016-10-R,7085,22,DNF,,20,,6,0,1,0,,,Spun off
