sessionId,entrantId,positionOrder,positionText,laps,time
1995-05-Q1,6374,1,1,8,83754
1995-05-Q1,6352,2,2,9,84146
1995-05-Q1,6375,3,3,8,84509
1995-05-Q1,6356,4,4,12,84659
1995-05-Q1,6384,5,5,11,84831
1995-05-Q1,6353,6,6,10,85623
1995-05-Q1,6377,7,7,11,85661
1995-05-Q1,6383,8,8,7,86017
1995-05-Q1,6365,9,9,12,86447
1995-05-Q1,6382,10,10,6,86457
1995-05-Q1,6357,11,11,11,86556
1995-05-Q1,6373,12,12,12,86579
1995-05-Q1,6364,13,13,12,86787
1995-05-Q1,6360,14,14,11,86828
1995-05-Q1,6371,15,15,12,87615
1995-05-Q1,6370,16,16,10,87714
1995-05-Q1,6355,17,17,12,88123
1995-05-Q1,6354,18,18,11,88439
1995-05-Q1,6363,19,19,4,89391
1995-05-Q1,6362,20,20,5,89439
1995-05-Q1,6385,21,21,11,90014
1995-05-Q1,6367,22,22,12,90149
1995-05-Q1,6369,23,23,6,90461
1995-05-Q1,6361,24,24,8,91542
1995-05-Q1,6368,25,25,5,94963
1995-05-Q1,6366,26,26,1,813570
