entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
6883,1,1,5537464,2,,71,25,1,25,,,
6882,2,2,5554447,1,,71,18,1,18,16983,,
6885,3,3,5565102,3,,71,15,1,15,27638,,
6915,4,4,5572512,5,,71,12,1,12,35048,,
6916,5,5,5604197,7,,71,10,1,10,"01:06,73",,
6894,6,6,,8,,70,8,1,8,+1 lap,,
6889,7,7,,6,,70,6,1,6,+1 lap,,
6895,8,8,,11,,70,4,1,4,+1 lap,,
6897,9,9,,16,,70,2,1,2,+1 lap,,
6891,10,10,,15,,70,1,1,1,+1 lap,,
6900,11,11,,13,,70,0,1,0,+1 lap,,
6899,12,12,,14,,70,0,1,0,+1 lap,,
6898,13,13,,17,,70,0,1,0,+1 lap,,
6892,14,14,,12,,70,0,1,0,+1 lap,,
6888,15,15,,10,,70,0,1,0,+1 lap,,
6902,16,16,,19,,69,0,1,0,+2 laps,,
6921,17,17,,9,,69,0,1,0,+2 laps,,
6904,18,18,,20,,69,0,1,0,+2 laps,,
6908,19,19,,23,,68,0,1,0,+3 laps,,
6917,20,20,,22,,68,0,1,0,+3 laps,,
6906,21,DNF,,21,,61,0,1,0,,,Alternator
6884,22,DNF,,4,,46,0,1,0,,,Gearbox
6893,23,DNF,,18,,26,0,1,0,,,Spin
6907,24,DNF,,24,,21,0,1,0,,,Wheel
