sessionId,entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
1977-14-R,5198,1,1,5270300,4,,52,9,1,9,,,
1977-14-R,5204,2,2,5287260,5,,52,6,1,6,16960,,
1977-14-R,5227,3,3,5293930,16,,52,4,1,4,23630,,
1977-14-R,5259,4,4,5298780,9,,52,3,1,3,28480,,
1977-14-R,5212,5,5,5301410,7,,52,2,1,2,31110,,
1977-14-R,5196,6,6,5349520,12,,52,1,1,1,"01:19,22",,
1977-14-R,5234,7,7,,24,,50,0,1,0,+2 laps,,
1977-14-R,5213,8,8,,8,,50,0,1,0,+2 laps,,
1977-14-R,5228,9,9,,23,,48,0,1,0,+4 laps,,
1977-14-R,5277,10,DNF,,17,,41,0,1,0,,,Transmission
1977-14-R,5205,11,DNF,,2,,39,0,1,0,,,Spun off
1977-14-R,5282,12,DNF,,15,,38,0,1,0,,,Engine
1977-14-R,5241,13,DNF,,6,,38,0,1,0,,,Spun off
1977-14-R,5224,14,DNF,,11,,31,0,1,0,,,Engine
1977-14-R,5231,15,DNF,,1,,26,0,1,0,,,Spun off
1977-14-R,5197,16,DNF,,13,,24,0,1,0,,,Engine
1977-14-R,5211,17,DNF,,3,,23,0,1,0,,,Engine
1977-14-R,5255,18,DNF,,20,,23,0,1,0,,,Engine
1977-14-R,5230,19,DNF,,18,,19,0,1,0,,,Engine
1977-14-R,5261,20,DNF,,21,,8,0,1,0,,,Engine
1977-14-R,5210,21,DNF,,10,,5,0,1,0,,,Accident
1977-14-R,5247,22,DNF,,22,,4,0,1,0,,,Engine
1977-14-R,5199,23,DNF,,19,,4,0,1,0,,,Suspension
1977-14-R,5223,24,DNF,,14,,3,0,1,0,,,Accident
