entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,timePenalty,reasonRetired
5827,1,1,5731337,8,,67,9,1,9,,
5803,2,2,5742998,3,,67,6,1,6,,
5826,3,3,5782491,13,,67,4,1,4,,
5818,4,4,5786616,15,,67,3,1,3,,
5802,5,5,5805309,12,,67,2,1,2,,
5807,6,6,5808157,10,,67,1,1,1,,
5817,7,7,,17,,66,0,1,0,,
5841,8,8,,19,,66,0,1,0,,
5830,9,9,,2,,66,0,1,0,,
5842,10,10,,26,,63,0,1,0,,
5832,11,11,,27,,62,0,1,0,,Engine
5808,12,12,,4,,61,0,1,0,,Brakes
5840,13,DNF,,18,,45,0,1,0,,Turbo
5813,14,DNF,,7,,40,0,1,0,,Engine
5845,15,DNF,,25,,32,0,1,0,,Gearbox
5833,16,DNF,,1,,29,0,1,0,,Clutch
5814,17,DNF,,5,,27,0,1,0,,Driveshaft
5839,18,DNF,,20,,25,0,1,0,,Ignition
5809,19,DNF,,6,,23,0,1,0,,Turbo
5838,20,DNF,,16,,19,0,1,0,,Spun off
5834,21,DNF,,11,,15,0,1,0,,Engine
5811,22,DNF,,22,,8,0,1,0,,Engine
5844,23,DNF,,9,,8,0,1,0,,Gearbox
5843,24,DNF,,23,,8,0,1,0,,Clutch
5812,25,DNF,,21,,8,0,1,0,,Oil pressure
5831,26,DNF,,24,,7,0,1,0,,Alternator
5825,27,DNS,,14,,,0,1,0,,Collision
