sessionId,entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
2012-02-R,6933,1,1,9891812,8,,56,25,1,25,,,
2012-02-R,6942,2,2,9894075,9,,56,18,1,18,2263,,
2012-02-R,6932,3,3,9906403,1,,56,15,1,15,14591,,
2012-02-R,6930,4,4,9909500,4,,56,12,1,12,17688,,
2012-02-R,6937,5,5,9921268,10,5,56,10,1,10,29456,,
2012-02-R,6946,6,6,9929479,13,,56,8,1,8,37667,,
2012-02-R,6939,7,7,9936224,14,,56,6,1,6,44412,,
2012-02-R,6944,8,8,9938797,18,,56,4,1,4,46985,,
2012-02-R,6940,9,9,9939704,16,,56,2,1,2,47892,,
2012-02-R,6935,10,10,9941808,3,,56,1,1,1,49996,,
2012-02-R,6929,11,11,9967339,5,,56,0,1,0,"01:15,53",,
2012-02-R,6943,12,12,9968640,15,,56,0,1,0,"01:16,83",,
2012-02-R,6936,13,13,9970405,7,,56,0,1,0,"01:18,59",,
2012-02-R,6931,14,14,9971531,2,,56,0,1,0,"01:19,72",,
2012-02-R,6934,15,15,9989131,12,,56,0,1,0,"01:37,32",,
2012-02-R,6948,16,16,,19,,55,0,1,0,+1 lap,,
2012-02-R,6951,17,17,,20,,55,0,1,0,+1 lap,,
2012-02-R,6947,18,18,,24,5,55,0,1,0,+1 lap,,
2012-02-R,6945,19,19,,11,,54,0,1,0,,,Engine
2012-02-R,6952,20,20,,21,,54,0,1,0,+2 laps,,
2012-02-R,6949,21,21,,22,,54,0,1,0,+2 laps,,
2012-02-R,6950,22,22,,23,,54,0,1,0,+2 laps,20000,
2012-02-R,6941,23,DNF,,17,,46,0,1,0,,,Brakes
2012-02-R,6938,24,DNF,,6,,3,0,1,0,,,Spun off
